AB001;2,24,25,54,61,66
AB002;10,35,41,49,58,79
AB003;12,18,54,57,65,87
AB004;1,17,22,35,58,86
AB005;25,44,45,60,88,90
AB006;11,56,71,76,78,81
AB007;9,22,35,41,43,64
AB008;17,22,49,51,56,60
AB009;12,19,27,67,77,90
AB010;20,21,30,42,59,71
AB011;2,10,39,46,63,82
AB012;2,16,40,56,60,88
AB013;20,24,42,65,66,72
AB014;1,2,9,53,71,90
AB015;31,45,72,79,80,85
AB016;3,6,17,37,49,72
AB017;20,24,30,46,59,90
AB018;11,25,28,45,47,77
AB019;22,28,41,47,49,79
AB020;4,25,68,69,77,85
AB021;3,22,35,46,71,73
AB022;5,33,46,61,89,90
AB023;3,22,26,36,41,52
AB024;17,30,35,49,57,63
AB025;56,73,76,78,88,90
AB026;23,28,47,55,63,71
AB027;3,14,17,35,73,74
AB028;26,29,53,63,70,78
AB029;1,8,56,58,66,79
AB030;13,40,53,54,63,64
AB031;2,29,30,42,67,84
AB032;36,48,57,68,72,90
AB033;4,5,6,25,28,69
AB034;18,24,34,38,45,75
AB035;5,12,14,27,40,80
AB036;2,26,34,72,83,88
AB037;11,31,40,44,50,82
AB038;28,48,50,52,58,61
AB039;37,39,59,65,70,89
AB040;17,22,35,55,73,83
AB041;6,8,11,82,85,89
AB042;1,3,4,22,40,49
AB043;17,35,41,49,61,71
AB044;3,17,22,41,49,78
AB045;1,32,36,68,69,88
AB046;38,44,76,77,79,88
AB047;14,23,48,50,52,83
AB048;5,13,38,42,68,74
AB049;8,27,33,47,64,86
AB050;36,53,66,69,76,80
AB051;19,28,51,61,63,79
AB052;7,8,34,38,43,55
AB053;17,35,41,49,58,67
AB054;2,19,26,48,63,86
AB055;2,8,25,29,32,79
AB056;5,14,32,34,36,44
AB057;2,17,22,35,49,79
AB058;15,31,50,74,80,90
AB059;5,9,24,30,63,64
AB060;12,36,42,52,67,85
AB061;11,13,26,31,54,76
AB062;26,29,43,58,74,80
AB063;2,9,10,27,57,62
AB064;3,9,35,49,57,76
AB065;42,46,50,57,70,77
AB066;15,18,19,44,46,75
AB067;3,8,12,14,17,49
AB068;6,30,32,45,71,72
AB069;3,17,19,25,49,70
AB070;3,17,22,35,41,49
AB071;17,35,41,59,61,62
AB072;37,42,53,64,66,73
AB073;12,24,43,71,72,73
AB074;15,17,41,49,77,78
AB075;20,25,27,36,52,67
AB076;6,44,47,67,78,79
AB077;3,29,35,49,53,54
AB078;20,52,55,63,74,82
AB079;8,12,50,52,72,82
AB080;5,38,53,66,70,83
