CD001;8,36,43,44,71,79
CD002;16,58,66,72,74,77
CD003;1,46,48,56,70,82
CD004;3,17,20,35,46,49
CD005;3,35,37,41,49,68
CD006;2,3,17,41,42,76
CD007;4,8,15,53,70,85
CD008;10,17,22,29,41,49
CD009;37,43,53,74,82,84
CD010;3,41,46,49,67,69
CD011;9,15,55,76,79,83
CD012;3,17,41,49,59,62
CD013;3,17,22,35,41,49
CD014;3,17,35,52,76,90
CD015;14,26,27,65,80,86
CD016;34,38,40,58,61,70
CD017;4,43,51,59,74,80
CD018;17,22,35,54,60,78
CD019;21,54,59,68,74,86
CD020;3,10,35,41,44,49
CD021;2,36,46,57,89,90
CD022;4,5,25,36,46,88
CD023;3,4,17,44,49,66
CD024;7,38,50,59,86,87
CD025;3,17,34,41,46,77
CD026;8,18,33,59,76,88
CD027;12,37,54,57,72,75
CD028;4,29,42,63,80,86
CD029;1,16,50,52,89,90
CD030;3,17,22,35,41,49
CD031;23,36,51,57,81,90
CD032;2,15,16,31,51,90
CD033;7,30,54,65,78,79
CD034;3,8,16,17,22,52
CD035;33,39,42,52,61,77
CD036;16,22,35,41,44,74
CD037;10,11,12,14,30,81
CD038;8,11,51,67,72,75
CD039;3,22,32,35,38,49
CD040;16,26,29,48,88,90
CD041;16,24,26,31,55,64
CD042;7,24,28,47,74,89
CD043;8,10,32,38,39,86
CD044;3,13,35,41,67,79
CD045;15,32,45,65,88,90
CD046;27,45,50,63,75,79
CD047;13,23,34,36,37,48
CD048;17,30,38,41,43,49
CD049;17,20,22,28,41,49
CD050;34,38,40,71,77,84
CD051;29,30,62,68,81,82
CD052;3,17,19,30,41,71
CD053;13,23,31,37,56,82
CD054;5,10,14,25,32,34
CD055;3,35,44,49,55,88
CD056;4,33,51,57,67,76
CD057;5,9,23,37,48,77
CD058;2,3,17,35,36,41
CD059;2,18,20,32,40,78
CD060;21,23,33,51,57,83
CD061;4,44,46,63,70,77
CD062;3,17,22,49,62,70
CD063;10,51,70,80,84,88
CD064;16,19,23,50,51,66
CD065;5,12,32,53,61,87
CD066;2,17,38,41,49,79
CD067;13,14,18,46,65,81
CD068;7,37,46,72,79,88
CD069;11,26,27,60,62,63
CD070;8,22,41,49,70,86
CD071;27,31,58,67,77,84
CD072;7,17,22,49,63,77
CD073;10,12,24,31,70,89
CD074;2,42,64,66,74,85
CD075;3,7,35,41,49,88
CD076;3,17,19,28,35,49
CD077;3,17,22,30,41,49
CD078;9,15,50,53,73,86
CD079;22,41,46,48,49,72
CD080;8,30,37,57,63,67
CD081;4,48,57,65,70,77
CD082;26,40,45,47,50,71
CD083;10,18,38,39,42,67
CD084;13,23,57,59,68,73
CD085;12,15,50,70,71,74
CD086;1,5,8,12,65,86
CD087;13,25,31,51,71,87
CD088;27,28,31,44,45,58
CD089;15,28,30,37,61,87
CD090;3,17,22,35,41,49
CD091;26,48,52,56,71,75
CD092;13,22,35,49,61,67
CD093;26,31,38,55,67,76
CD094;25,48,70,78,79,85
CD095;8,9,17,35,41,77
CD096;14,22,30,35,41,68
CD097;19,43,44,57,68,88
CD098;3,17,23,41,58,61
CD099;3,17,35,41,49,51
CD100;13,32,34,68,76,79
