EF001;8,13,38,56,74,78
EF002;9,36,65,73,76,83
EF003;7,9,15,55,70,76
EF004;3,22,41,49,54,64
EF005;8,32,42,44,64,82
EF006;20,22,25,41,49,64
EF007;6,12,40,70,71,81
EF008;3,22,38,41,69,89
EF009;5,14,53,64,68,76
EF010;16,40,47,59,63,78
EF011;3,17,21,22,35,41
EF012;9,38,66,76,78,80
EF013;4,8,9,33,37,59
EF014;2,13,51,53,59,80
EF015;4,6,13,37,59,88
EF016;27,30,31,64,82,87
EF017;26,42,57,67,72,73
EF018;3,12,36,41,49,84
EF019;12,30,40,42,63,87
EF020;4,9,19,50,54,80
EF021;7,11,25,50,81,85
EF022;13,25,55,73,74,89
EF023;12,25,29,38,50,70
EF024;3,17,22,35,46,67
EF025;1,4,26,45,46,81
EF026;7,22,35,38,41,49
EF027;19,55,76,78,86,88
EF028;20,51,55,71,80,82
EF029;3,35,41,49,56,77
EF030;3,9,22,35,41,49
EF031;39,63,65,72,75,81
EF032;8,60,69,70,83,88
EF033;3,13,35,41,67,78
EF034;8,17,29,35,49,70
EF035;9,16,37,62,65,69
EF036;3,17,18,22,47,49
EF037;5,10,12,45,47,78
EF038;25,38,55,73,78,87
EF039;20,42,60,66,74,83
EF040;17,26,36,41,49,69
EF041;6,10,32,46,54,90
EF042;10,15,17,22,23,49
EF043;10,20,53,68,69,74
EF044;31,32,44,73,74,80
EF045;15,16,28,33,34,38
EF046;59,60,64,65,73,83
EF047;30,46,50,54,60,66
EF048;15,17,18,22,35,67
EF049;10,15,16,26,28,80
EF050;5,12,19,78,80,89
EF051;3,17,22,35,49,54
EF052;32,34,45,46,54,65
EF053;12,16,34,42,46,82
EF054;17,33,35,41,49,54
EF055;50,54,56,57,71,76
EF056;3,16,17,32,41,49
EF057;6,64,68,70,78,80
EF058;18,39,55,56,77,88
EF059;28,36,68,74,79,82
EF060;36,39,53,77,81,90
